tahun,total_sampah_per_tahun,total_sampah_2018,total_sampah_per_kota,kabupaten_kota
2015,20969.269999999997,22772.92,1511.15,KABUPATEN BOGOR
2015,20969.269999999997,22772.92,419.01,KABUPATEN SUKABUMI
2015,20969.269999999997,22772.92,981.41,KABUPATEN CIANJUR
2015,20969.269999999997,22772.92,1895.94,KABUPATEN BANDUNG
2015,20969.269999999997,22772.92,464.74,KABUPATEN GARUT
2015,20969.269999999997,22772.92,464.52,KABUPATEN TASIKMALAYA
2015,20969.269999999997,22772.92,260.91,KABUPATEN CIAMIS
2015,20969.269999999997,22772.92,251.7,KABUPATEN KUNINGAN
2015,20969.269999999997,22772.92,465.75,KABUPATEN CIREBON
2015,20969.269999999997,22772.92,254.63,KABUPATEN MAJALENGKA
2015,20969.269999999997,22772.92,237.96,KABUPATEN SUMEDANG
2015,20969.269999999997,22772.92,613.18,KABUPATEN INDRAMAYU
2015,20969.269999999997,22772.92,487.26,KABUPATEN SUBANG
2015,20969.269999999997,22772.92,308.96,KABUPATEN PURWAKARTA
2015,20969.269999999997,22772.92,869.86,KABUPATEN KARAWANG
2015,20969.269999999997,22772.92,1228.6,KABUPATEN BEKASI
2015,20969.269999999997,22772.92,616.08,KABUPATEN BANDUNG BARAT
2015,20969.269999999997,22772.92,185.83,KABUPATEN PANGANDARAN
2015,20969.269999999997,22772.92,991.93,KOTA BOGOR
2015,20969.269999999997,22772.92,309.91,KOTA SUKABUMI
2015,20969.269999999997,22772.92,2448.63,KOTA BANDUNG
2015,20969.269999999997,22772.92,304.15,KOTA CIREBON
2015,20969.269999999997,22772.92,2387.08,KOTA BEKASI
2015,20969.269999999997,22772.92,1844.3,KOTA DEPOK
2015,20969.269999999997,22772.92,563.21,KOTA CIMAHI
2015,20969.269999999997,22772.92,472.36,KOTA TASIKMALAYA
2015,20969.269999999997,22772.92,130.21,KOTA BANJAR
2016,20969.269999999997,22772.92,1511.15,KABUPATEN BOGOR
2016,20969.269999999997,22772.92,419.01,KABUPATEN SUKABUMI
2016,20969.269999999997,22772.92,981.41,KABUPATEN CIANJUR
2016,20969.269999999997,22772.92,1895.94,KABUPATEN BANDUNG
2016,20969.269999999997,22772.92,464.74,KABUPATEN GARUT
